id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
61424,60221,30012,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:16,2026-03-05 20:44:16,,,,,
61425,60221,30014,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61426,60221,30019,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61427,60221,30020,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61428,60221,30024,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61429,60221,30026,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61430,60221,30030,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61431,60222,30012,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61432,60222,30014,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61433,60222,30019,opcional,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61434,60222,30020,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61435,60222,30024,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61436,60222,30026,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61437,60222,30030,obrigatoria,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
61438,60223,30012,opcional,8.00,2025-07-10 00:00:00,2025-12-31 00:00:00,2026-03-05 20:44:17,2026-03-05 20:44:17,,,,,
