id,consultorId,specificDate,startTime,endTime,slotDurationMinutes,googleMeetLink,isActive,createdAt,updatedAt
1,35,2026-03-23,14:00,15:00,60,,1,2026-03-17 11:51:38,2026-03-17 11:51:38
60001,39,2026-03-06,09:00,10:00,60,,1,2026-03-25 02:21:00,2026-03-25 02:21:00
