id,alunoId,trilhaId,trilhaNome,entregue,dataEntrega,titulo,descricao,avaliadoPor,observacao,createdAt,updatedAt,fileUrl,fileKey,fileName,oQueAprendi,oQueMudei,resultadoMensuravel,antesVsDepois,evidenciaUrl,evidenciaKey,evidenciaFileName,notaAlunoAplicabilidade,notaMentoraAplicabilidade,aplicabilidadeAvaliadaEm
1,30098,1,Basic,1,2026-03-23 14:49:43,Case_Sucessores_Feedback e Empatia,,,,2026-03-18 12:26:05,2026-03-23 14:49:42,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/cases-sucesso/aluno-30098/relatorio-trilha-1-08smctu8.pdf,cases-sucesso/aluno-30098/relatorio-trilha-1-08smctu8.pdf,Feedback Wand.pdf,"Durante minha participação no Programa de Sucessores do Sebrae Tocantins, especialmente nas atividades que abordaram feedback e empatia, aprofundei meu entendimento sobre a importância da comunicação consciente, respeitosa e orientada ao desenvolvimento. Compreendi que o feedback eficaz vai além de apontar resultados, envolvendo escuta ativa, empatia e foco em comportamentos observáveis, sem julgamentos pessoais. Esse aprendizado fortaleceu minha capacidade de conduzir diálogos mais construtivos e alinhados aos objetivos institucionais e ao desenvolvimento das pessoas.","Os conhecimentos adquiridos foram aplicados diretamente no meu ambiente de trabalho, em interações cotidianas com colegas da UGE e parceiros internos. Utilizei as técnicas de feedback e empatia em reuniões de alinhamento, acompanhamento de demandas do Leme, revisões de atividades e conversas individuais, buscando sempre criar um espaço seguro para o diálogo e a troca transparente.","Fornecido 2 feedbacks aos colegas da UGE
Recebido 4 feedbacks aos colegas da UGE ","No ano anterior ao programa de sucessores eu só havia recebido feedback na avaliação competências, após o conhecimento adquirido puder dá feedback estruturado a colegas e receber ao longo do ano.",,,,10,,
30001,660014,1,Basic,1,2026-03-21 23:30:49,GESTÃO DE TEMPO,,,,2026-03-21 23:30:48,2026-03-21 23:30:48,,,,A ATIVIDADE FOI OTIMA E COMPREI UM RELOGIO,MUITAS COISAS ,REDUZI EM 30% MEU TEMPO NO CELULAR ,ERA UMA PESSOA QUE FICAVA O TEMPO TODO NO CELULAR,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/5n7arrGNHjNdoFCMzyGXcY/cases-sucesso/aluno-660014/evidencia-trilha-1-lzp8ggrz.docx,cases-sucesso/aluno-660014/evidencia-trilha-1-lzp8ggrz.docx,ajustes 20.docx,,,
