id,userId,title,message,type,category,link,isRead,createdAt
240029,660161,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:04:20
240030,660176,Sessão de Mentoria #8 Registrada,Sua mentora registrou a sessão #8. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:07:38
240031,660176,Sessão de Mentoria #9 Registrada,Sua mentora registrou a sessão #9. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:07:57
240032,660176,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:08:33
240033,660183,Sessão de Mentoria #8 Registrada,Sua mentora registrou a sessão #8. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:09:49
240034,660183,Sessão de Mentoria #9 Registrada,Sua mentora registrou a sessão #9. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:10:21
240035,660183,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:10:45
240036,660164,Sessão de Mentoria #9 Registrada,Sua mentora registrou a sessão #9. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:21:31
240037,660164,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:22:39
240038,660157,Sessão de Mentoria #9 Registrada,Sua mentora registrou a sessão #9. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:24:21
240039,660157,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:24:56
240040,660178,Sessão de Mentoria #9 Registrada,Sua mentora registrou a sessão #9. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:26:46
240041,660178,Sessão de Mentoria #10 Registrada,Sua mentora registrou a sessão #10. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:28:35
240042,660111,Sessão de Mentoria #14 Registrada,Sua mentora registrou a sessão #14. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:35:43
240043,660111,Sessão de Mentoria #15 Registrada,Sua mentora registrou a sessão #15. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:40:59
240044,660111,Sessão de Mentoria #16 Registrada,Sua mentora registrou a sessão #16. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:41:37
240045,660112,Sessão de Mentoria #16 Registrada,Sua mentora registrou a sessão #16. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-16 17:43:34
240046,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 17:57:45
240047,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 18:56:01
240048,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 19:14:20
240049,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 21:42:10
240050,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 21:47:49
240051,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 21:56:07
