id,consultorId,sessionFrom,sessionTo,valor,descricao,createdAt,updatedAt
90001,39,1,1,0.00,,2026-03-23 14:43:35,2026-03-23 14:43:35
90002,29,1,12,0.00,,2026-03-23 14:55:21,2026-03-23 14:55:21
