id,activityId,userId,status,createdAt,updatedAt
240007,210053,2,inscrito,2026-03-17 22:10:42,2026-03-17 22:10:42
240008,210054,2,inscrito,2026-03-17 22:10:43,2026-03-17 22:10:43
240010,210072,2,inscrito,2026-03-17 22:57:20,2026-03-17 22:57:20
240011,210073,2,inscrito,2026-03-17 22:57:20,2026-03-17 22:57:20
240013,210091,2,inscrito,2026-03-17 23:12:21,2026-03-17 23:12:21
240014,210092,2,inscrito,2026-03-17 23:12:21,2026-03-17 23:12:21
240016,210110,2,inscrito,2026-03-17 23:37:07,2026-03-17 23:37:07
240017,210111,2,inscrito,2026-03-17 23:37:07,2026-03-17 23:37:07
240019,210129,2,inscrito,2026-03-17 23:37:35,2026-03-17 23:37:35
240020,210130,2,inscrito,2026-03-17 23:37:36,2026-03-17 23:37:36
240022,210148,2,inscrito,2026-03-17 23:48:03,2026-03-17 23:48:03
240023,210149,2,inscrito,2026-03-17 23:48:03,2026-03-17 23:48:03
240025,210167,2,inscrito,2026-03-18 01:05:12,2026-03-18 01:05:12
240026,210168,2,inscrito,2026-03-18 01:05:12,2026-03-18 01:05:12
240028,210186,2,inscrito,2026-03-18 01:16:40,2026-03-18 01:16:40
240029,210187,2,inscrito,2026-03-18 01:16:40,2026-03-18 01:16:40
240031,210205,2,inscrito,2026-03-18 01:23:31,2026-03-18 01:23:31
240032,210206,2,inscrito,2026-03-18 01:23:31,2026-03-18 01:23:31
270001,240015,2,inscrito,2026-03-18 20:07:54,2026-03-18 20:07:54
270002,240016,2,inscrito,2026-03-18 20:07:54,2026-03-18 20:07:54
270004,240034,2,inscrito,2026-03-19 00:35:15,2026-03-19 00:35:15
270005,240035,2,inscrito,2026-03-19 00:35:15,2026-03-19 00:35:15
270007,240053,2,inscrito,2026-03-19 01:35:36,2026-03-19 01:35:36
270008,240054,2,inscrito,2026-03-19 01:35:36,2026-03-19 01:35:36
270010,240072,2,inscrito,2026-03-19 01:52:50,2026-03-19 01:52:50
270011,240073,2,inscrito,2026-03-19 01:52:50,2026-03-19 01:52:50
